spotify_track_id,release_date_raw
3Dy4REq8O09IlgiwuHQ3sk,1974
762B4bOcXF7I2Y8UlKTyTy,1979
0J2p4KYdr6Mg4ET6JPlbe1,1980
4kKdvXD0ez7jp1296JmAts,1994-11-08
2FPfeYlrbSBR8PwCU0zaqq,1957-09
4HEOgBHRCExyYVeTyrXsnL,1957-09
3spdoTYpuCpmq19tuD0bOe,1969-03
4feXcsElKIVsGwkbnTHAfV,1967-08
6YeDjSHCDmJKgU8foiaruL,1994-11-08
5b7OgznPJJr1vHNYGyvxau,1962-12-10
74VR3AkGPhbYXnxcOYa16x,1966-05
4FmCUATNIarCQh72JYdvnm,1966-11
5yNgdD8E6WruhULb4n2Con,1957-09
6BePGk3eCan4FqaW2X8Qy3,2022-11-03
18asYwWugKjjsihZ0YvRxO,2021-11-04
0bI7K9Becu2dtXK1Q3cZNB,2021-08-12
0zKbDrEXKpnExhGQRe9dxt,2023-01-06
6f3Slt0GbA2bPZlz0aIFXN,2020-09-16
3Z7CaxQkqbIs1rewKi6v4W,2022-06-30
4Et6tUEO7biKxZEfJXpNj1,2022-05-13
3KruoUtSkm84Az0bJunnxl,2022-07-29
4vvnuJlgBeNVwq3TNmLMNX,2020-05-15
7rglLriMNBPAyuJOMGwi39,2021-10-22
1jDJFeK9x3OZboIAHsY9k2,1983-05-30
3lFwSDBCNo3CcN09UppUnm,2021-10-22
3gdewACMIVMEWVbyb8O9sY,1972-05-19
38zsOOcu31XbbYj9BIPUF1,1970-04-10
7HW5WIw7ZgZORCzUxv5gW5,1975-10-24
2TVxnKdb3tqe1nhQWwwZCO,1971-11-05
6sBWmE23q6xQHlnEZ8jYPT,1973-10-05
4IRHwIZHzlHT1FQpRa5RdE,1973-10-05
3bH2Eu9A9ymI4UnGHRmoXg,2021-12-03
4Li2WHPkuyCdtmokzW2007,2011-08-08
2igwFfvr1OAGX9SKDCPBwO,2009-09-08
7LR85XLWw2yXqKBSI5brbG,2009-09-08
3Osd3Yf8K73aj4ySn6LrvK,2011-08-08
1gT5TGwbkkkUliNzHRIGi1,2017-07-07
5ljCWsDlSyJ41kwqym2ORw,2002-11-12
6vegnfDS8DAEaCqWaPYGPy,2011-08-08
5Pt83OUaK3K9C2if4C5JOk,2011-08-08
4VCbgIdr8ptegWeJpqLVHH,2021-09-03
2dHHgzDwk4BJdRwy9uXhTO,2022-12-02
1bDbXMyjaUIooNwFE9wn0N,2022-11-04
3F5CgOj3wFlRv51JsHbxhe,2022-06-17
4WuOWVnAqvEQxgSRrspBgt,2022-12-02
2KLwPaRDOB87XOYAT2fgxh,2022-11-04
6pcywuOeGGWeOQzdUyti6k,2020-10-02
34tz0eDhGuFErIuW3q4mPX,2022-11-04
46s57QULU02Voy0Kup6UEb,2022-11-04
2ZL7WZcjuYKi1KUDtp4kCC,2022-11-04
2BcMwX1MPV6ZHP4tUT9uq6,2021-09-03
3sNVsP50132BTNlImLx70i,2013-06-18
4EWCNWgDS8707fNSZ1oaA5,2008-11-24
5TRPicyLGbAF2LGBFbHGvO,2007-09-11
4KW1lqgSr8TKrvBII0Brf8,2016-06-10
0j2T0R9dR9qdJYsB7ciXhf,2007-09-11
7rbECVPkY5UODxoOUVKZnA,2007-09-11
3s7MCdXyWmwjdcWh7GWXas,2018-06-01
4iz9lGMjU1lXS51oPmUmTe,2007-09-11
1PS1QMdUqOal0ai3Gt7sDQ,2005-08-30
1uKjQoh8JZj9ryuYRhpd7E,1987-07-15
6F9yAYUaNbUhdlQyt5uZ3b,1988-11-25
6vPAmoERUMRoTZaCCSWQ12,1993
1lKI9y1DL6QnYTZguVmACX,1994-08-30
7BwxbmYFy0l3ROHDjV2c14,1988-11-25
1livAifXh1DMv25kTfFFHR,1997-08-12
27XboT5Wb8VOn7A0heo3Ei,1990-01-01
2DAsLftcRKP3iarCPmI1RY,1991-11-19
1jxO9AwMqYynDsuMWKrPvi,2000-01-11
5kB8WUUla9s2w7yXD7h4CQ,1997-08-12
1xzi1Jcr7mEi9K2RfzLOqS,2022-07-29
5IVuqXILoxVWvWEPm82Jxr,2003-06-24
1Hohk6AufHZOrrhMXZppax,2022-07-29
5pyoxDZ1PX0KxBxiRVxA4U,2022-07-29
3ERa3mEeOnrh2Mc47qM6T1,2008-11-14
1z6WtY7X4HQJvzxC4UgkSf,2011-06-24
0314PeD1sQNonfVWix3B2K,2022-07-29
1bhUWB0zJMIKr9yVPrkEuI,2017-11-30
6jG2YzhxptolDzLHTGLt7S,2014-11-24
1uXbwHHfgsXcUKfSZw5ZJ0,2011-06-24
4EQOGfssbSpTlV6EZRtrSv,2022-11-24
69vlMrzHwATKzupwNcUPyK,2020-02-29
228BxWXUYQPJrJYHDLOHkj,2004-07-13
48AJSd42lXpicsGqcgopof,2022-03-25
26QKsGW4hMuwiEE1ftUMHe,2004-07-13
6habFhsOp2NvshLv26DqMb,2019-02-01
5w9c2J52mkdntKOmRLeM2m,2019-01-24
2FNqnsX74ZlwduUAcnmzee,2004-07-13
2jnZUvhw2LTvDI6YidRVcO,2008-08-12
7fGODUqa0gtkb72oBVCgCD,2007-06-05
4NqkE7kRUvMDEdcqD96EDO,2022-12-08
7AzlLxHn24DxjgQX73F9fU,2020-03-13
527k23H0A4Q0UJN3vGs0Da,2020-03-13
7hxHWCCAIIxFLCzvDgnQHX,2020-08-28
4ZevD501qZiFK7FY8DFn0V,2022-11-18
0Li1OuXXfi7950ilZUFGkF,2020-03-13
2KdKh9vHbKW0tZLqtpxxI0,2022-04-29
0bkTdkWwGk3OGFX0afD3Wj,2020-11-13
0IX5OFffosy8wk16m1IFCa,2021-10-08
1dp8aQANyTRKssDeAYPiZe,2022-04-22
63Zaf8Rci6eOUPqDQ4fUFx,2020-04-17
0IqCoZ168iRc9LqfrYgpZy,2021-07-14
56f5qnyAlZdlz8wrUDA50h,2019-05-03
4v7riPZWyAclrOfUSwD0zp,2022-09-06
6i28Cxd4CUiHmcowzQW38w,2022-09-06
56Ta1O7Jxxpjnc6cWdDKUo,2020-02-18
5EbtodsuLbxrFDH6j5avVS,2020-06-10
0wIIVkpeRLjoGAYkeYXevR,2022-09-06
4G3PTss3mU33Tau7t4KbwE,2020-11-13
6I9VzXrHxO9rA9A5euc8Ak,2003-11-13
6ic8OlLUNEATToEFU3xmaH,2007-10-25
3MjUtNVVq3C8Fn0MP3zhXa,1999-01-12
6naxalmIoLFWR0siv8dnQQ,2000-05-16
0YWUHZPJVg4iujddsJDwhM,2000-11-14
4fixebDZAVToLbUCuEloa2,2008-12-02
7jk7gqyEonmVVYahZN5zhW,2008-12-02
6T689Jvh5KrSXyaPtUWZtQ,2011-03-28
2hdy9Wt9qp7M7d0U3ossu2,2008-12-02
2B4GHvToeLTOBB4QLzW3Ni,2021-10-01
6C1RD7YQVvt3YQj0CmuTeu,2016-08-26
6K5BsR04ijf3FHNzjbaagD,2019-08-02
6mAN61JH0dzyZpWslS11jy,2019-08-29
4U0JLGFHJpEnDS5w8F7ngE,2020-09-18
3BomnHfqKZCdPJC9bkGBjE,2021-11-26
2QAwkI8L0UVBpjHJ6PwBzn,2016-02-22
17BqQS5Cj899fQR8e6gvk9,2022-11-24
6OzUIp8KjuwxJnCWkXp1uL,2022-12-01
7d7aPD2oxuzjhOZnu4Dj23,2022-06-17
7it0u6IGJQLRX9Q9q7vgOj,2022-12-01
2CT2oLeINCEuTEBrkTLUgD,2022-12-15
6ksWMnPcHNyNoNf3y1BQCO,2006-09-25
2FqoR7diymD1Eh7cVb3DMg,2012-01-01
4kAtRwNRLMKuoCbxMSxUGI,2005-01-01
1Kgyx7NLtzsa3gWV1efGHu,2007-01-01
7MRU4vOkywuhZ9kbFiPuiu,2019-06-28
4Yxc55NX3tAXC2mHRAhtcW,2019-11-27
28UMEtwyUUy5u0UWOVHwiI,1998-01-01
7tUSJY4nsDBJTjd1UXKRsT,2006-01-01
1mRBJdpIgc3jZH8C3cN2WV,2015-01-01
6oYkwjI1TKP9D0Y9II1GT7,2006-01-01
4zDfgax6Ihb0UWdour1ZEs,1997-01-01
0PKmDncVOiNQLO6D1P6PXi,1997-01-01
0k7Shopj669EbywEjsqoqm,2022-09-16
2F8LPJgSVTJxukoParTyBD,2001-01-01
5rWIO1uP0GwAoU45RTBJ2F,2007-01-01
5IgjP7X4th6nMNDh4akUHb,2019-10-04
0vjeOZ3Ft5jvAi9SBFJm1j,2022-12-02
6XHVuErjQ4XNm6nDPVCxVX,2019-06-28
2BEcap3xJtmiPaHKyfQi4e,2021-09-08
1IIKrJVP1C9N7iPtG6eOsK,2020-05-08
3NZJlJemX3mzjf56MqC5ML,2008-04-29
2xRGPubKBTHX6iyrpQvtCy,2011-03-22
71mHO4fFmS2Xu5XxZbcRND,2022-09-06
3baPniPXS0iEII8rDUJdYP,2022-05-19
5Lgcn7u07bHuqbOtXkN62u,2007-11-06
3azJifCSqg9fRij2yKIbWz,2021-12-10
1au2UduxcvHfa0fZS3Szci,2021-12-10
2Gyc6e2cLxA5hoX1NOvYnU,2016-08-19
4xqIYGwwZTEem9U8A42SPF,2020-04-10
2MbdDtCv5LUVjYy9RuGTgC,2020-06-24
6ieWL5CLN9WdC875guWtMe,2021-12-10
6ydWxkzjDktHsTzvWcaZ1i,2015-01-15
0Odu228D0yGcFySGuxU4rY,2019-11-15
5uKHTLXNcftXtYfU7j9cQ6,2022-04-22
4sMmYKC0ot3GTbl2RzHw7T,2021-03-05
0bYg9bo50gSsH3LtXe2SQn,1994-10-28
3PIDciSFdrQxSQSihim3hN,1994-10-28
6xkryXuiZU360Lngd4sx13,1995-10-03
2aBxt229cbLDOvtL7Xbb9x,1995-10-03
3LmvfNUQtglbTrydsdIqFU,2005-04-12
0YImOCkIJ2PWhCXaURCZnY,2002-11-26
1kMOJBmpfWD9fir6st9uqS,1993-08-31
3IcIIZMMS7UArJJPtEHXG8,2009-09-29
4FCb4CUbFCMNRkI6lYc1zI,1993-08-31
3B7FO3kJ5kv3mX7yiaB7sT,1994-10-28
3i7qScF9Oyp31O9bAutJez,2022-09-02
6bdpj89aYEBjhpsenXAsmO,2017-01-04
3KeMulXbLDJBQdY5PZbGEh,2021-07-16
3gOXq3FPPesm7VLPKmef6j,2021-12-06
5OMUXgfXsSukZ0zxelpC3b,2013-05-31
1O5mTSQa0sCce9ghhDqIZl,2007-12-31
1uJ2czshFLqimctgvsxfv2,2022-07-31
7mLEUzAulFygMchoGMrP8E,2014-09-18
7F8RNvTQlvbeBLeenycvN6,2011-10-01
4FeczSomVWVyU4FW7xDeAI,2006-09-11
7tb8nir1Wd25emgErIiKkt,2007-11-02
38DiGBjKQdeDmE7CqLo8jL,2007-11-02
2LYxeQ7gSg5AyqjcEt0UG9,2007-11-02
0DjEoVRlUV3mopYyeQnaTH,2007-11-02
29y51auVbI2hhmsq3adsht,2007-11-02
40QP3t1yIGmzgijNoAVRui,2007-11-02
3dcmXGYB73WOSanK4B0V2c,2007-11-02
5jmtr79DRqaEcWZA9OFPCU,2007-11-02
0JoDJblRIkMNqUtJGp2fXH,2007-11-02
4Ume0fW73wXZC739aRxs2i,2007-11-02
4UMIv5jd9gK98a39BQRD9X,2022-10-06
1smFN2CLqGROu0J0UyvDfL,2020-02-14
4bD9z9qa4qg9BhryvYWB7c,2013-03-30
7eQl3Yqv35ioqUfveKHitE,2007-09-21
5O932cZmzOZGOGZz9RHx20,2019-08-31
0dLbrlAVPPjpPqnYfmJsWk,2009-11-06
4SqPZorSDuUtvdJwVGeZRC,2022-10-06
6FjbAnaPRPwiP3sciEYctO,2012-02-24
6vo7Y1iWyZvpjvFbf6BiZ5,0000
2FZDNh6tm9mkZ9vTphuAh8,2022-06-01
6udC4b4jOSnHb9ItnXgKLR,2011-03-28
5G7pZ8G8NFvS1MQ9H4L7dC,2018-09-14
6zfvsbeuFKoWIdoRb3JdhA,2022-10-06
1cmZbGkCEVVAck2MsWpPYQ,2015-05-21
6vZj02bcQqLTYRAi4jRkw7,2006-08-02
4Q3oEhpsDommo2naYhCpAl,2008-11-06
